Oman.Al.Thakafeyah.om|Oman Al Thakafeyah.sa
Oman.om|Oman.eg
Oman.Mubasher.om|Oman Mubasher.sa
Oman.Sport.om|Oman Sport.sa
Oman.TV.Mubasher.om|Oman TV Mubasher HD
Oman.TV.Mubashir.om|Oman TV Mubashir.sa
Oman.TV.om|Oman TV
Oman.TV.Sport.om|Oman TV Sport HD
Oman.Sports.TV.om|قناة عمان الرياضية
Oman.TV.2.om|قناة عمان العامة
Oman.TV.Cultural.om|قناة عمان الثقافية
Oman.TV.Mubashir.2.om|قناة عمان مباشر
