shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,Marina.HD.ae,Marina HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MarjaeyatTV.2.HD.ae,MarjaeyatTV 2 HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Masah.eg,Masah.eg,REVIEW,92,0,56,49.0,49.0,0,56,92.9,7.1,0.0,eg,,EMPTY_DESC=56(100%),برنامج,برنامج
mena-other,Maspero Zaman.eg,Maspero Zaman.eg,REVIEW,92,0,50,38.0,38.0,0,50,34.0,66.0,0.0,eg,,EMPTY_DESC=50(100%),Yawmiat Wanis 1,برنامج قصة قصيرة
mena-other,MCMTop.fr@SD,MCM TOP,REVIEW,76,0,42,42.0,42.0,0,41,100.0,0.0,100.0,,,EMPTY_DESC=41(98%); REPEATED_TITLE=81%; LOW_TITLE_DIVERSITY=10%,توب ميكس,توب ميكس
mena-other,Med.Muzîk.ae,Med Muzîk,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mix Bel Araby.eg,Mix Bel Araby.eg,REVIEW,84,0,47,49.0,49.0,0,47,12.8,87.2,0.0,eg,,EMPTY_DESC=47(100%); LOW_TITLE_DIVERSITY=19%,Falling Leaves S2,Forbidden Apple S5
mena-other,Mix ONE.eg,Mix ONE.eg,REVIEW,84,0,45,49.0,49.0,0,45,17.8,82.2,0.0,eg,,EMPTY_DESC=45(100%); LOW_TITLE_DIVERSITY=20%,Keed Al-Nesa 1,Forbidden Love
mena-other,Mix.ae,Mix,REVIEW,92,0,23,50.75,50.75,0,23,0.0,100.0,0.0,ae,,EMPTY_DESC=23(100%),Divergent,Avengers: Infinity War
mena-other,Mix.bel.Araby.TV.ae,Mix bel Araby TV,REVIEW,92,0,25,50.0,50.0,0,25,0.0,100.0,0.0,ae,,EMPTY_DESC=25(100%),The Apple And The Skull,Al Sharabya
mena-other,MoonbugKids.uk@SD,Moonbug Kids,REVIEW,92,0,76,43.6,43.6,0,0,100.0,0.0,100.0,,,LOW_TITLE_DIVERSITY=18%,بليبي,بليبي
mena-other,MotorvisionPlus.de@SD,MOTORVISION,PASS,100,1,80,41.83,41.83,0,0,100.0,0.0,100.0,,,,بطولة مونستر جام 2025,استراليان دراغ رايسنغ تشامبونشب 2024
mena-other,MOVIES1 PREMIERE DIGITAL.qa,MOVIES1 PREMIERE DIGITAL.qa,REVIEW,92,0,23,43.78,46.25,0,23,100.0,0.0,0.0,qa,,EMPTY_DESC=23(100%),المنزل آمن!,هاي غراوند
mena-other,MOVIES2 ACTION DIGITAL.qa,MOVIES2 ACTION DIGITAL.qa,REVIEW,92,0,25,45.77,46.23,0,25,100.0,0.0,0.0,qa,,EMPTY_DESC=25(100%),رجال البدلة السوداء 2,رجال البدلة السوداء 3
mena-other,MOVIES3 DRAMA DIGITAL.qa,MOVIES3 DRAMA DIGITAL.qa,REVIEW,92,0,23,43.22,46.25,0,23,91.3,8.7,0.0,qa,,EMPTY_DESC=23(100%),12 الأيتام الأقوياء,إجازة تطوعية
mena-other,MOVIES4 FAMILY DIGITAL.qa,MOVIES4 FAMILY DIGITAL.qa,REVIEW,92,0,27,43.28,46.28,0,27,100.0,0.0,0.0,qa,,EMPTY_DESC=27(100%),السنافر,بادينجتون في بيرو
mena-other,Mowagahat-1.ae,Mowagahat-1,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
