MBC.Alarabiya.mena|العربية
MBC.Al.Hadath.mena|Al Hadath
MBC.1.mena|MBC1
MBC.2.mena|MBC2
MBC.3.mena|MBC 3
MBC.4.mena|MBC4
MBC.5.mena|MBC 5
MBC.Action.mena|MBC Action
MBC.Bollywood.mena|MBC Bollywood
MBC.Drama.mena|MBC Drama
MBC.Iraq.mena|MBC Iraq
MBC.Masr.mena|MBC Masr
MBC.Masr2.mena|MBC Masr2
MBC.Masr.Drama.mena|إم بي سي مصر دراما
MBC.MAX.mena|MBC MAX
MBC.Persia.mena|MBC Persia
MBC.Plus.Drama.mena|MBC Plus Drama
