shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,eClutch Arabic.sa,eClutch Arabic.sa,REVIEW,76,0,46,46.0,46.0,0,46,0.0,100.0,0.0,sa,,EMPTY_DESC=46(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,EClutch Live Arabic,EClutch Live Arabic
mena-other,eClutch LIVE 2.sa,eClutch LIVE 2.sa,REVIEW,76,0,46,46.0,46.0,0,46,0.0,100.0,0.0,sa,,EMPTY_DESC=46(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,EClutch Live 2,EClutch Live 2
mena-other,eClutch LIVE.sa,eClutch LIVE.sa,REVIEW,76,0,46,46.0,46.0,0,46,0.0,100.0,0.0,sa,,EMPTY_DESC=46(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,EClutch Live 1,EClutch Live 1
mena-other,EN:.Aflam.sa,EN: Aflam,REVIEW,84,0,6,14.42,14.42,0,6,0.0,100.0,0.0,sa,,LONG_GT_6H=1; EMPTY_DESC=6(100%),Wahed Min El Nas,The Office
mena-other,en:.Al.Arabiya.Business.-.Live.ae,en: Al Arabiya Business - Live,REVIEW,84,0,48,49.0,49.0,0,48,0.0,100.0,0.0,ae,,EMPTY_DESC=48(100%); LOW_TITLE_DIVERSITY=15%,Power Lunch,Al-Aswaq Al-Arabiya
mena-other,EN:.Al.Asouf.Channel.sa,EN: Al Asouf Channel,REVIEW,76,0,64,49.03,49.07,0,64,0.0,100.0,0.0,sa,,EMPTY_DESC=64(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,Al Asouf,Al Asouf
mena-other,en:.Al.Hadath.Live.ae,en: Al Hadath Live,REVIEW,76,0,71,50.0,50.0,0,71,0.0,100.0,0.0,ae,,EMPTY_DESC=71(100%); REPEATED_TITLE=93%; LOW_TITLE_DIVERSITY=4%,Studio Al Hadath,Al Hadath News
mena-other,en:.Asianet.ME.ae,en: Asianet ME,REVIEW,92,0,42,49.0,49.0,0,42,0.0,100.0,0.0,ae,,EMPTY_DESC=42(100%),Bigg Boss Malayalam,Kishkindha Kaandam
mena-other,en:.Asianet.Movies.HD.ae,en: Asianet Movies HD,REVIEW,92,0,18,51.0,51.0,0,18,0.0,100.0,0.0,ae,,EMPTY_DESC=18(100%),Malikappuram,Corona Papers
mena-other,en:.Asianet.Plus.HD.ae,en: Asianet Plus HD,REVIEW,76,0,43,49.0,49.0,0,43,0.0,100.0,0.0,ae,,EMPTY_DESC=43(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,Movie,Movie
mena-other,en:.Bloom.ae,en: Bloom,REVIEW,84,0,293,48.4,48.4,0,293,0.0,100.0,0.0,ae,,EMPTY_DESC=293(100%); LOW_TITLE_DIVERSITY=17%,Badanamu Stories,Cry Babies Magic Tears
mena-other,en:.Colors.HD.ae,en: Colors HD,REVIEW,84,0,81,48.5,48.5,0,81,0.0,100.0,0.0,ae,,EMPTY_DESC=81(100%); LOW_TITLE_DIVERSITY=11%,Bareilly Ke Bacchan,Juhi Mui
mena-other,EN:.El.Le'ba.Channel.sa,EN: El Le'ba Channel,REVIEW,76,0,81,48.72,48.75,0,81,0.0,100.0,0.0,sa,,EMPTY_DESC=81(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=1%,El Le'ba: Dawri El Abtal,El Le'ba: Dawri El Abtal
mena-other,EN:.Fairuz.sa,EN: Fairuz,REVIEW,84,0,761,48.15,48.18,0,761,0.0,100.0,0.0,sa,,EMPTY_DESC=761(100%); LOW_TITLE_DIVERSITY=4%,Tebka Mayel,A Hadeer El Bousta
mena-other,EN:.Maraya.Channel.sa,EN: Maraya Channel,REVIEW,84,0,4,14.23,14.23,0,4,0.0,100.0,0.0,sa,,LONG_GT_6H=1; EMPTY_DESC=4(100%),Hadeeth Al Maraya Episode 13,Eshna W Shofna Episode 16
mena-other,EN:.Rabeh.Saqer.sa,EN: Rabeh Saqer,REVIEW,84,0,493,48.15,48.18,0,493,0.0,100.0,0.0,sa,,EMPTY_DESC=493(100%); LOW_TITLE_DIVERSITY=14%,Wein Inta,Daafi Mahaba
mena-other,en:.SET.Max.ae,en: SET Max,REVIEW,92,0,27,50.12,50.12,0,27,0.0,100.0,0.0,ae,,EMPTY_DESC=27(100%),Namastey London,Aashiqui
mena-other,en:.Sony.TV.ae,en: Sony TV,REVIEW,84,0,59,49.5,49.5,0,59,0.0,100.0,0.0,ae,,EMPTY_DESC=59(100%); LOW_TITLE_DIVERSITY=12%,The Kapil Sharma Show,Crime Patrol
mena-other,en:.Star.Plus.HD.ae,en: Star Plus HD,REVIEW,84,0,91,48.5,48.5,0,91,0.0,100.0,0.0,ae,,EMPTY_DESC=91(100%); LOW_TITLE_DIVERSITY=12%,Udne Ki Aasha,Yeh Rishta Kya Kehlata Hai
mena-other,en:.Zee.TV.HD.ae,en: Zee TV HD,REVIEW,84,0,89,48.5,48.5,0,89,0.0,100.0,0.0,ae,,EMPTY_DESC=89(100%); LOW_TITLE_DIVERSITY=12%,Hamara Parivar,Kaise Mujhe Tum Mil Gaye
mena-other,Esport 24.sa,Esport 24.sa,REVIEW,68,0,34,45.95,45.95,0,34,5.9,94.1,0.0,sa,,LONG_GT_6H=2; EMPTY_DESC=34(100%); REPEATED_TITLE=94%; LOW_TITLE_DIVERSITY=9%,كأس العالم للرياضات الإلكترونية,بلاست بريمير
mena-other,Euro-News.qa,Euro-News.qa,REVIEW,84,0,75,40.77,41.8,0,75,100.0,0.0,0.0,qa,,EMPTY_DESC=75(100%); LOW_TITLE_DIVERSITY=16%,العالم اليوم,ملفات
mena-other,FATAFEAT-1.qa,FATAFEAT-1.qa,REVIEW,84,0,56,41.47,42.0,0,56,100.0,0.0,0.0,qa,,EMPTY_DESC=56(100%); LOW_TITLE_DIVERSITY=12%,ذي إنكريدبول دكتور بول,ذي إنكريدبول دكتور بول
mena-other,Fatafeat.sa,Fatafeat.sa,REVIEW,92,0,61,46.25,46.25,0,8,100.0,0.0,100.0,sa,,EMPTY_DESC=8(13%),مطبخ منال العالم: حلويات,مطبخ منال العالم:الحلقة 9
mena-other,Food Network.sa,Food Network.sa,PASS,100,1,59,42.5,42.5,0,0,100.0,0.0,100.0,sa,,,غيرل مِيتس فارم:شبات دينر ذين بريكفاست,غيرل مِيتس فارم:ميكة أوف ذا ميدويست
mena-other,France 24.sa,France 24.sa,REVIEW,92,0,212,41.98,41.98,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=16%,ثقافة,الأخبار
mena-other,France.24.Arabic.ae,France 24 Arabic,REVIEW,76,0,271,48.78,48.78,0,271,91.5,100.0,0.0,ae,,SHORT_LT_2M=24; EMPTY_DESC=271(100%); LOW_TITLE_DIVERSITY=13%,منتدى الصحافة,الأخبار
