GLOBAL RECEIVER ID NORMALIZATION
renamed=497 dropped_proven_duplicates=0 collisions_repaired=53
policy=one real service -> one stable canonical receiver ID

Alfa Al Safwa.sa -> ART.Alfa.Al.Safwa.sa.mena | Alfa Al Safwa.sa
Alfa Al Yawm HD.sa -> ART.Alfa.Al.Yawm.sa.mena | Alfa Al Yawm HD.sa
Alfa Cinema 1.sa -> ART.Alfa.Cinema.1.sa.mena | Alfa Cinema 1.sa
Alfa Cinema 2.sa -> ART.Alfa.Cinema.2.sa.mena | Alfa Cinema 2.sa
Alfa Fann.sa -> ART.Alfa.Fann.sa.mena | Alfa Fann.sa
Alfa Music HD.sa -> ART.Alfa.Music.sa.mena | Alfa Music HD.sa
Alfa Series +2 HD.sa -> ART.Alfa.Series.2.sa.mena | Alfa Series +2 HD.sa
Alfa Series HD.sa -> ART.Alfa.Series.sa.mena | Alfa Series HD.sa

=== provider-starz | 5 IDs ===
STARZPLAY Sports.sa -> STARZ.Sports.sa.mena | STARZPLAY Sports.sa
en:.STARZPLAY.Cricket.1.ae -> STARZ.Cricket.1.mena | en: STARZPLAY Cricket 1
en:.STARZPLAY.Sports.1.ae -> STARZ.Sports.1.mena | en: STARZPLAY Sports 1
en:.STARZPLAY.Sports.2.ae -> STARZ.Sports.2.mena | en: STARZPLAY Sports 2
en:.StarzPlay.Rugby.-.Live.ae -> STARZ.Rugby.Live.mena | en: StarzPlay Rugby - Live

=== mena-eg | 58 IDs ===
Al Hayat.sa -> Al.Hayat.sa.eg | Al Hayat.sa
Al Kahera Wal Nas TV 2.eg -> Al.Kahera.Wal.Nas.TV.2.eg.eg | Al Kahera Wal Nas TV 2.eg
Al Kahera Wal Nas TV.eg -> Al.Kahera.Wal.Nas.TV.eg.eg | Al Kahera Wal Nas TV.eg
Al Kahera Walnas 2.sa -> Al.Kahera.Walnas.2.sa.eg | Al Kahera Walnas 2.sa
Al Kahera Walnas.sa -> Al.Kahera.Walnas.sa.eg | Al Kahera Walnas.sa
Al Masriya.sa -> Al.Masriya.sa.eg | Al Masriya.sa
Al Nahar Drama.sa -> Al.Nahar.Drama.sa.eg | Al Nahar Drama.sa
Al Nahar TV.sa -> Al.Nahar.TV.sa.eg | Al Nahar TV.sa
Al Nahar.sa -> Al.Nahar.sa.eg | Al Nahar.sa
Al.Kahera.Wal.Nas.2.ae -> Al.Kahera.Wal.Nas.2.eg | Al Kahera Wal Nas 2
Al.Kahera.Wal.Nas.ae -> Al.Kahera.Wal.Nas.eg | Al Kahera Wal Nas
Al.Masriyah.ae -> Al.Masriyah.eg | Al Masriyah
Al.Oula.ae -> Al.Oula.eg | Al Oula
Al.Shams.TV.ae -> Al.Shams.TV.eg | Al Shams TV
AlKaheraWalNas.eg@SD -> AlKaheraWalNas.eg | القاهرة والناس
AlKaheraWalNas2.eg@SD -> 2.eg | القاهرة والناس 2
AlMasriyah.eg@SD -> AlMasriyah.eg | المصرية
AlNahar.eg@SD -> AlNahar.eg | النهار
AlNaharDrama.eg@SD -> AlNaharDrama.eg | النهار دراما
AlSaeedah.eg@SD -> AlSaeedah.eg | السعيدة
Alhayat TV.eg -> Alhayat.TV.eg.eg | Alhayat TV.eg
AlhayatTV.eg@SD -> AlhayatTV.eg | الحياة
CBC Drama.sa -> CBC.Drama.sa.eg | CBC Drama.sa
CBC Extra News.sa -> CBC.Extra.News.sa.eg | CBC Extra News.sa
CBC Sofra.sa -> CBC.Sofra.sa.eg | CBC Sofra.sa
CBC.eg@SD -> CBC.eg | سي بي سي
CBC.sa -> CBC.sa.eg | CBC.sa
CBCDrama.eg@SD -> CBCDrama.eg | سي بي سي دراما
Cima.eg -> Cima.eg.eg | Cima.eg
Cima.eg@SD -> Cima.eg | سيما
DMC DRAMA.eg -> DMC.DRAMA.eg.eg | DMC DRAMA.eg
DMC.eg@SD -> DMC.eg | DMC HD
DMCDrama.eg@SD -> DMCDrama.eg | دي إم سي دراما
EN:.Masrah.Masr.Channel.sa -> Masrah.Masr.Channel.eg | EN: Masrah Masr Channel
El.Mehwar.HD.ae -> El.Mehwar.eg | El Mehwar HD
Extra.News.HD.ae -> Extra.News.eg | Extra News HD
MasperoZaman.eg@SD -> MasperoZaman.eg | ماسبيرو زمان
Mehwar.eg -> Mehwar.eg.eg | Mehwar.eg
MixBelAraby.eg@SD -> MixBelAraby.eg | ميكس بالعربي
Nile Drama.eg -> Nile.Drama.eg.eg | Nile Drama.eg
Nile.Cinema.ae -> Nile.Cinema.eg | Nile Cinema
Nile.Comedy.ae -> Nile.Comedy.eg | Nile Comedy
Nile.Family.ae -> Nile.Family.eg | Nile Family
Nile.Life.ae -> Nile.Life.eg | Nile Life
Nile.TV.ae -> Nile.TV.eg | Nile TV
NileDrama.eg@SD -> NileDrama.eg | نايل دراما
North.Sinai.ae -> North.Sinai.eg | North Sinai
ON Drama.eg -> ON.Drama.eg.eg | ON Drama.eg
ON E.eg -> ON.E.eg.eg | ON E.eg
OnDrama.eg@SD -> OnDrama.eg | أون دراما
OnE.eg@SD -> OnE.eg | أون إي
Sada El Balad 2.eg -> Sada.El.Balad.2.eg.eg | Sada El Balad 2.eg
Sada El Balad Drama.eg -> Sada.El.Balad.Drama.eg.eg | Sada El Balad Drama.eg
Sada El Balad.eg -> Sada.El.Balad.eg.eg | Sada El Balad.eg
SadaElbalad.eg@SD -> SadaElbalad.eg | صدى البلد
SadaElbalad2.eg@SD -> 2.2.eg | صدى البلد 2
SadaElbaladDrama.eg@SD -> SadaElbaladDrama.eg | صدى البلد دراما
TeN.eg@SD -> TeN.eg | تن

=== mena-sa | 31 IDs ===
Aflam.sa@SD -> Aflam.sa | أفلام
Al Resalah.sa -> Al.Resalah.sa.sa | Al Resalah.sa
AlQuranAlKareemTV.sa@SD -> Al.Quran.Al.Kareem.TV.sa | Al Quran Al Kareem TV HD
AlResalah.sa@SD -> AlResalah.sa | الرساله
AlSaudiya.sa@SD -> AlSaudiya.sa | السعودية
AsharqDiscovery.sa@SD -> AsharqDiscovery.sa | الشرق ديسكفري
AsharqDocumentary.sa@SD -> Asharq.Documentary.sa | Asharq Documentary
AsharqNews.sa@SD -> AsharqNews.sa | الشرق
BabAlHara.sa@SD -> BabAlHara.sa | قناة باب الحارة
Fairuz.sa@HD -> Fairuz.sa | فيروز
KSA Now.sa -> KSA.Now.sa.sa | KSA Now.sa
KSASports1.sa@SD -> KSA.Sports.1.sa | KSA Sports 1 HD
LBC.sa -> LBC.sa.sa | LBC.sa
LBC.sa@SD -> LBC.sa | إل بي سي
Maraya.sa@HD -> Maraya.sa | قناة مرايا
Masah.sa@SD -> Masah.sa | ماسة
MoviesAction.sa@SD -> Movies.Action.sa | Movies Action
MoviesThriller.sa@SD -> Movies.Thriller.sa | Movies Thriller
RabehSaqer.sa@HD -> RabehSaqer.sa | رابح صقر
SBC.sa@SD -> SBC.sa | SBC
Saudi 1.sa -> Saudi.1.sa.sa | Saudi 1.sa
Saudi Quran.sa -> Saudi.Quran.sa.sa | Saudi Quran.sa
Saudi Sports 1.sa -> Saudi.Sports.1.sa.sa | Saudi Sports 1.sa
Saudi Sports 2.sa -> Saudi.Sports.2.sa.sa | Saudi Sports 2.sa
Saudi Sports 3.sa -> Saudi.Sports.3.sa.sa | Saudi Sports 3.sa
Saudi Sunnah.sa -> Saudi.Sunnah.sa.sa | Saudi Sunnah.sa
Saudi.Al.Ekhbariya.HD.ae -> Saudi.Al.Ekhbariya.sa | Saudi Al Ekhbariya HD
Saudi.HD.ae -> Saudi.sa | Saudi HD
Saudi.Thikrayat.ae -> Saudi.Thikrayat.sa | Saudi Thikrayat
Saudiya TV.eg -> Saudiya.TV.eg.sa | Saudiya TV.eg
ThikrayatTV.sa@SD -> ThikrayatTV.sa | ذكريات

=== mena-ae | 16 IDs ===
AlDafrahTV.ae@SD -> AlDafrahTV.ae | الظفرة
AlSharqiyaMinKabla.ae@SD -> AlSharqiyaMinKabla.ae | الشرقية
CNBC.Arabiya.ae -> CNBC.Arabiya.ae | CNBC Arabiya
CartoonNetworkArabic.ae@SD -> CN.Arabia.ae | CN Arabia
Emirates.eg -> Emirates.eg.ae | Emirates.eg
Fujairah TV.sa -> Fujairah.TV.sa.ae | Fujairah TV.sa
Fujairah.eg -> Fujairah.eg.ae | Fujairah.eg
FujairahTV.ae@SD -> FujairahTV.ae | الفجيرة
NickJrArabia.ae@SD -> Nick.Jr.ae | Nick Jr HD
NickelodeonArabia.ae@SD -> Nickelodeon.ae | Nickelodeon HD
NicktoonsArabia.ae@SD -> NickToons.ae | NickToons HD
Sharjah Quran.sa -> Sharjah.Quran.sa.ae | Sharjah Quran.sa
Sharjah Sports.sa -> Sharjah.Sports.sa.ae | Sharjah Sports.sa
Sharjah TV.sa -> Sharjah.TV.sa.ae | Sharjah TV.sa
Sharjah.HD.ae -> Sharjah.ae | Sharjah HD
SkyNewsArabia.ae@SD -> Sky.News.Arabia.ae | Sky News Arabia HD

=== mena-qa | 14 IDs ===
Al.Jazeera.Mobasher.2.HD.ae -> Al.Jazeera.Mobasher.2.qa | Al Jazeera Mobasher 2 HD
Al.Jazeera.Mobasher.HD.ae -> Al.Jazeera.Mobasher.qa | Al Jazeera Mobasher HD
Al.Rayyan.Al.Qadeem.HD.ae -> Al.Rayyan.Al.Qadeem.qa | Al Rayyan Al Qadeem HD
Al.Rayyan.HD.ae -> Al.Rayyan.qa | Al Rayyan HD
AlArabyTV.qa@SD -> Al.Araby.TV.qa | Al Araby TV
AlArabyTV2.qa@SD -> Al.Araby.2.qa | Al Araby 2
AlJazeera.Arabic.net -> AlJazeera.Arabic.qa | AlJazeera Arabic
AlJazeera.English.net -> AlJazeera.English.qa | AlJazeera English
AlJazeera.qa@Arabic -> Al.Jazeera.Arabic.qa | Al Jazeera Arabic
AlJazeera2.qa@HD -> Al.Jazeera.2.qa | Al Jazeera 2
Aljazeera-Documentary-1.qa -> Aljazeera.Documentary.1.qa.qa | Aljazeera-Documentary-1.qa
BeJunior.qa@SD -> Be.Junior.qa | Be Junior
Qatar.2.HD.ae -> Qatar.2.qa | Qatar 2 HD
Qatar.TV.HD.ae -> Qatar.TV.qa | Qatar TV HD

=== mena-kw | 3 IDs ===
AlraiTV.kw@SD -> Al.Rai.TV.kw | Al Rai TV
KTV Channel 1 HD.sa -> KTV.Channel.1.sa.kw | KTV Channel 1 HD.sa
Kuwait.TV.1.HD.ae -> Kuwait.TV.1.kw | Kuwait TV 1 HD

=== mena-bh | 2 IDs ===
Bahrain Sports TV.sa -> Bahrain.Sports.TV.sa.bh | Bahrain Sports TV.sa
BahrainTV.bh@SD -> Bahrain.TV.bh | Bahrain TV

=== mena-om | 12 IDs ===
Oman Al Thakafeyah.sa -> Oman.Al.Thakafeyah.sa.om | Oman Al Thakafeyah.sa
Oman Mubasher.sa -> Oman.Mubasher.sa.om | Oman Mubasher.sa
Oman Sport.sa -> Oman.Sport.sa.om | Oman Sport.sa
Oman TV Mubashir.sa -> Oman.TV.Mubashir.sa.om | Oman TV Mubashir.sa
Oman.TV.Mubasher.HD.ae -> Oman.TV.Mubasher.om | Oman TV Mubasher HD
Oman.TV.Sport.HD.ae -> Oman.TV.Sport.om | Oman TV Sport HD
Oman.eg -> Oman.eg.om | Oman.eg
OmanSportsTV.om -> OmanSportsTV.om | قناة عمان الرياضية
OmanTV.om -> OmanTV.om | قناة عمان العامة
OmanTV.om@SD -> Oman.TV.om | Oman TV
OmanTVCultural.om -> OmanTVCultural.om | قناة عمان الثقافية
OmanTVMubashir.om -> OmanTVMubashir.om | قناة عمان مباشر

=== mena-jo | 9 IDs ===
Al Mamlaka TV.sa -> Al.Mamlaka.TV.sa.jo | Al Mamlaka TV.sa
AmmanTV.jo@SD -> AmmanTV.jo | عَمان
Jordan TV.sa -> Jordan.TV.sa.jo | Jordan TV.sa
JordanTV.jo@SD -> JordanTV.jo | الأردن
RoyaComedy.jo@SD -> Roya.Comedy.jo | Roya Comedy
RoyaKids.jo@SD -> Roya.Kids.jo | Roya Kids
RoyaKitchen.jo@SD -> Roya.Kitchen.jo | Roya Kitchen
RoyaNews.jo@SD -> Roya.News.jo | Roya News
RoyaTV.jo@SD -> Roya.TV.jo | Roya TV

=== mena-lb | 5 IDs ===
Aghani Aghani.sa -> Aghani.Aghani.sa.lb | Aghani Aghani.sa
Al Jadeed TV.eg -> Al.Jadeed.TV.eg.lb | Al Jadeed TV.eg
AlJadeed.lb@SD -> AlJadeed.lb | الجديد
LBCInternational.lb@SD -> LBCInternational.lb | إل بي سي آي
MTV.lb@SD -> MTV.Lebanon.lb | MTV Lebanon

=== mena-iq | 16 IDs ===
Al.Iraqiya.HD.ae -> Al.Iraqiya.iq | Al Iraqiya HD
Al.Iraqiya.News.HD.ae -> Al.Iraqiya.News.iq | Al Iraqiya News HD
Al.Rasheed.TV.HD.ae -> Al.Rasheed.TV.iq | Al Rasheed TV HD
Al.Sharqiya.TV.HD.ae -> Al.Sharqiya.TV.iq | Al Sharqiya TV HD
Al.Sumaria.TV.ae -> Al.Sumaria.TV.iq | Al Sumaria TV
Al.sharqiya.News.HD.ae -> Al.sharqiya.News.iq | Al sharqiya News HD
AlIraqia.iq@SD -> AlIraqia.iq | العراقية
AlRasheedTV.iq@SD -> AlRasheedTV.iq | الرشيد
Alrasheed.eg -> Alrasheed.eg.iq | Alrasheed.eg
Alsumaria.eg -> Alsumaria.eg.iq | Alsumaria.eg
Alsumaria.iq@SD -> Alsumaria.iq | السومرية
Dijlah TV.eg -> Dijlah.TV.eg.iq | Dijlah TV.eg
Dijlah.Zaman.ae -> Dijlah.Zaman.iq | Dijlah Zaman
DijlahTV.iq@SD -> DijlahTV.iq | دجلة
Iraq.Al.Hadath.ae -> Iraq.Al.Hadath.iq | Iraq Al Hadath
Sharqiya from Kalba.sa -> Sharqiya.from.Kalba.sa.iq | Sharqiya from Kalba.sa

=== mena-ye | 1 IDs ===
HadhramautTV.ye@SD -> HadhramautTV.ye | تلفزيون حضرموت

=== mena-dz | 2 IDs ===
Echorouk TV.eg -> Echorouk.TV.eg.dz | Echorouk TV.eg
EchoroukTV.dz@SD -> EchoroukTV.dz | الشروق الجزائرية

=== mena-tn | 4 IDs ===
ElWatania1.tn@SD -> 1.tn | الوطنية 1
ElWatania2.tn@SD -> 2.tn | الوطنية 2
Nessma.eg -> Nessma.eg.tn | Nessma.eg
NessmaElJadida.tn@SD -> NessmaElJadida.tn | نسمة

=== mena-sd | 1 IDs ===
Sudan.TV.ae -> Sudan.TV.sd | Sudan TV

=== mena-sy | 1 IDs ===
Althania.sy@SD -> Althania.sy | الثانية

=== mena-other | 233 IDs ===
4k DIGITAL.qa -> 4k.qa.mena | 4k DIGITAL.qa
ANC.sa -> ANC.sa.mena | ANC.sa
Al Dafrah.sa -> Al.Dafrah.sa.mena | Al Dafrah.sa
Al Ekhbariya.sa -> Al.Ekhbariya.sa.mena | Al Ekhbariya.sa
Al.Araby.HD.ae -> Al.Araby.mena | Al Araby HD
Al.Hayah.2.ae -> Al.Hayah.2.mena | Al Hayah 2
Al.Hayah.HD.ae -> Al.Hayah.mena | Al Hayah HD
Al.Hayah.Mosalsalat.ae -> Al.Hayah.Mosalsalat.mena | Al Hayah Mosalsalat
Al.Thanya.ae -> Al.Thanya.mena | Al Thanya
Alaraby TV 2.eg -> Alaraby.TV.2.eg.mena | Alaraby TV 2.eg
Althania.eg -> Althania.eg.mena | Althania.eg
Amman TV.sa -> Amman.TV.sa.mena | Amman TV.sa
Amman.eg -> Amman.eg.mena | Amman.eg
AnimalPlanetEurope.uk@SD -> Animal.Planet.mena | Animal Planet HD
Arirang.World.ae -> Arirang.World.mena | Arirang World
Asharq Discovery.sa -> Asharq.Discovery.sa.mena | Asharq Discovery.sa
BBC Arabic.sa -> BBC.Arabic.sa.mena | BBC Arabic.sa
BBC World News.sa -> BBC.World.News.sa.mena | BBC World News.sa
BBCArabic.uk@SD -> BBC.World.mena | BBC World
Baby-TV-2.qa -> Baby.TV.2.qa.mena | Baby-TV-2.qa
Bigg.sa -> Bigg.sa.mena | Bigg.sa
Blippi And Friends.sa -> Blippi.And.Friends.sa.mena | Blippi And Friends.sa
Bloomberg.sa -> Bloomberg.sa.mena | Bloomberg.sa
BloombergOriginals.us@SD -> Bloomberg.Originals.mena | Bloomberg Originals
BoxOffice1 DIGITAL.qa -> BoxOffice1.qa.mena | BoxOffice1 DIGITAL.qa
BoxOffice2 DIGITAL.qa -> BoxOffice2.qa.mena | BoxOffice2 DIGITAL.qa
CBeebies-1.qa -> CBeebies.1.qa.mena | CBeebies-1.qa
CGTN.Arabic.ae -> CGTN.Arabic.mena | CGTN Arabic
CGTN.ae -> CGTN.mena | CGTN
CN Arabic.sa -> CN.Arabic.sa.mena | CN Arabic.sa
CN English.sa -> CN.English.sa.mena | CN English.sa
CNBC Arabia.sa -> CNBC.Arabia.sa.mena | CNBC Arabia.sa
CNN.International.ae -> CNN.International.mena | CNN International
CNNInternational.us@MENA -> CNN.mena | CNN HD
Cartoon Network Arabic.sa -> Cartoon.Network.Arabic.sa.mena | Cartoon Network Arabic.sa
Cartoon-Network-Arabic-1.qa -> Cartoon.Network.Arabic.1.qa.mena | Cartoon-Network-Arabic-1.qa
CartoonNetworkMENA.uk@SD -> Cartoon.Network.mena | Cartoon Network HD
Cartoonito.sa -> Cartoonito.sa.mena | Cartoonito.sa
Cinema One Global.sa -> Cinema.One.Global.sa.mena | Cinema One Global.sa
CrimePlusInvestigation.us@SD -> C.I.mena | C & I
DW.Arabia.HD.ae -> DW.Arabia.mena | DW Arabia HD
DZMM TeleRadyo.sa -> DZMM.TeleRadyo.sa.mena | DZMM TeleRadyo.sa
Discovery Family HD.sa -> Discovery.Family.sa.mena | Discovery Family HD.sa
Discovery HD.sa -> Discovery.sa.mena | Discovery HD.sa
Discovery ID.sa -> Discovery.ID.sa.mena | Discovery ID.sa
DiscoveryChannelMiddleEastAfrica.us@SD -> Discovery.Channel.mena | Discovery Channel HD
Disney Channel.sa -> Disney.Channel.sa.mena | Disney Channel.sa
Disney Junior.sa -> Disney.Junior.sa.mena | Disney Junior.sa
Dubai.sa -> Dubai.sa.mena | Dubai.sa
EN:.Aflam.sa -> Aflam.mena | EN: Aflam
EN:.Al.Asouf.Channel.sa -> Al.Asouf.Channel.mena | EN: Al Asouf Channel
EN:.Asharq.sa -> Asharq.mena | EN: Asharq
EN:.Bab.Al.Hara.Channel.sa -> Bab.Al.Hara.Channel.mena | EN: Bab Al Hara Channel
EN:.El.Le'ba.Channel.sa -> El.Le.ba.Channel.mena | EN: El Le'ba Channel
EN:.Fairuz.sa -> Fairuz.mena | EN: Fairuz
EN:.Maraya.Channel.sa -> Maraya.Channel.mena | EN: Maraya Channel
EN:.Rabeh.Saqer.sa -> Rabeh.Saqer.mena | EN: Rabeh Saqer
Esport 24.sa -> Esport.24.sa.mena | Esport 24.sa
Euro-News.qa -> Euro.News.qa.mena | Euro-News.qa
Fatafeat.sa -> Fatafeat.sa.mena | Fatafeat.sa
Food Network.sa -> Food.Network.sa.mena | Food Network.sa
France 24.sa -> France.24.sa.mena | France 24.sa
France.24.Arabic.ae -> France.24.Arabic.mena | France 24 Arabic
France.24.English.ae -> France.24.English.mena | France 24 English
GINXTV.uk@SD -> Ginx.mena | Ginx
GMA Life TV.sa -> GMA.Life.TV.sa.mena | GMA Life TV.sa
GMA News TV.sa -> GMA.News.TV.sa.mena | GMA News TV.sa
GMA Pinoy TV.sa -> GMA.Pinoy.TV.sa.mena | GMA Pinoy TV.sa
Gametoon.nl@SD -> Gametoon.mena | Gametoon
H2 HD.sa -> H2.sa.mena | H2 HD.sa
HGTV.sa -> HGTV.sa.mena | HGTV.sa
Hadhramaut TV.eg -> Hadhramaut.TV.eg.mena | Hadhramaut TV.eg
History2MiddleEast.us@SD -> H2.mena | H2 HD
HistoryMiddleEast.us@SD -> History.mena | History HD
InvestigationDiscovery.uk@SD -> Discovery.IDX.mena | Discovery IDX HD
Iraqia TV.eg -> Iraqia.TV.eg.mena | Iraqia TV.eg
KBS.World.ae -> KBS.World.mena | KBS World
KidZone Max.sa -> KidZone.Max.sa.mena | KidZone Max.sa
LTV.sa -> LTV.sa.mena | LTV.sa
MCMTop.fr@SD -> MCM.TOP.mena | MCM TOP
MOVIES1 PREMIERE DIGITAL.qa -> MOVIES1.PREMIERE.qa.mena | MOVIES1 PREMIERE DIGITAL.qa
MOVIES2 ACTION DIGITAL.qa -> MOVIES2.ACTION.qa.mena | MOVIES2 ACTION DIGITAL.qa
MOVIES3 DRAMA DIGITAL.qa -> MOVIES3.DRAMA.qa.mena | MOVIES3 DRAMA DIGITAL.qa
MOVIES4 FAMILY DIGITAL.qa -> MOVIES4.FAMILY.qa.mena | MOVIES4 FAMILY DIGITAL.qa
MTV.eg -> MTV.eg.mena | MTV.eg
Makan33.il@SD -> Makan33.mena | مكان
Masah.eg -> Masah.eg.mena | Masah.eg
Mix Bel Araby.eg -> Mix.Bel.Araby.eg.mena | Mix Bel Araby.eg
Mix ONE.eg -> Mix.ONE.eg.mena | Mix ONE.eg
Mix.ae -> Mix.mena | Mix
Mix.bel.Araby.TV.ae -> Mix.bel.Araby.TV.mena | Mix bel Araby TV
MoonbugKids.uk@SD -> Moonbug.Kids.mena | Moonbug Kids
MotorvisionPlus.de@SD -> MOTORVISION.mena | MOTORVISION
Myx.sa -> Myx.sa.mena | Myx.sa
