shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-eg,Al.Kahera.Wal.Nas.ae,Al Kahera Wal Nas,REVIEW,76,0,50,48.35,48.35,0,50,0.0,100.0,0.0,ae,,EMPTY_DESC=50(100%); LOW_TITLE_DIVERSITY=20%; FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,TV Program,May's Kitchen
mena-eg,Al.Masriyah.ae,Al Masriyah,REVIEW,84,0,47,49.5,49.5,0,47,0.0,100.0,0.0,ae,,EMPTY_DESC=47(100%); FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=4,The Story Of Narges,Al Hayat's Kitchen
mena-eg,Al.Oula.ae,Al Oula,REVIEW,84,0,50,49.0,49.0,0,50,0.0,100.0,0.0,ae,,EMPTY_DESC=50(100%); FOREIGN_FEED_ID=AE_EXPECTED=EG,Zezenia: The Night and The Lighthouse,News Brief
mena-eg,Al.Shams.TV.ae,Al Shams TV,REVIEW,84,0,47,49.5,49.5,0,47,0.0,100.0,0.0,ae,,EMPTY_DESC=47(100%); FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=4,The Story Of Narges,Al Hayat's Kitchen
mena-eg,Alhayat TV.eg,Alhayat TV.eg,REVIEW,92,0,40,46.67,46.67,0,40,62.5,37.5,0.0,eg,,EMPTY_DESC=40(100%),برنامج مطبخ الحياة,برنامج
mena-eg,AlhayatTV.eg@SD,الحياة,REVIEW,84,0,26,31.42,39.42,1,14,100.0,0.0,100.0,eg,,EMPTY_DESC=14(54%); GAPS_GT_2H=1/TOTAL=8.0h,الإمام الطيب,شارع شريف ج4
mena-eg,AlKaheraWalNas.eg@SD,القاهرة والناس,REVIEW,92,0,8,10.97,10.97,0,5,100.0,12.5,100.0,eg,,EMPTY_DESC=5(62%),برنامج الدكتور,فيلم عربي
mena-eg,AlKaheraWalNas2.eg@SD,القاهرة والناس 2,REVIEW,92,0,9,10.0,10.0,0,3,100.0,0.0,100.0,eg,,EMPTY_DESC=3(33%),برنامج مي شو,زواج بالإكراه
mena-eg,AlMasriyah.eg@SD,المصرية,REVIEW,92,0,33,34.0,34.0,0,18,100.0,0.0,100.0,eg,,EMPTY_DESC=18(55%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,برنامج من ماسبيرو,فوق مستوى الشبهات
mena-eg,AlNahar.eg@SD,النهار,REVIEW,92,0,46,42.5,42.5,0,29,100.0,6.5,100.0,eg,,EMPTY_DESC=29(63%),الضوء الشارد,برنامج أكلة بيتي
mena-eg,AlNaharDrama.eg@SD,النهار دراما,REVIEW,92,0,42,42.0,42.0,0,0,100.0,0.0,100.0,eg,,LOW_TITLE_DIVERSITY=14%,ستهم,ستهم
mena-eg,AlSaeedah.eg,AlSaeedah.eg,REVIEW,92,0,37,34.5,34.5,0,37,62.2,37.8,0.0,eg,,EMPTY_DESC=37(100%),Durub Al Marjala 2,Litle Bride 2
mena-eg,AlSaeedah.eg@SD,السعيدة,REVIEW,92,0,37,34.5,34.5,0,23,100.0,0.0,100.0,eg,,EMPTY_DESC=23(62%),دروب المرجلة ج2,زهرة القصر ج2
mena-eg,CBC Drama.sa,CBC Drama.sa,REVIEW,76,0,44,44.0,44.0,0,0,100.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%; FOREIGN_FEED_ID=SA_EXPECTED=EG,CBC دراما,CBC دراما
mena-eg,CBC Extra News.sa,CBC Extra News.sa,REVIEW,76,0,44,44.0,44.0,0,0,100.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%; FOREIGN_FEED_ID=SA_EXPECTED=EG,CBC إكسترا نيوز,CBC إكسترا نيوز
mena-eg,CBC Sofra.sa,CBC Sofra.sa,REVIEW,76,0,44,44.0,44.0,0,0,100.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%; FOREIGN_FEED_ID=SA_EXPECTED=EG,CBC سفرة,CBC سفرة
mena-eg,CBC.eg@SD,سي بي سي,REVIEW,84,0,27,33.0,40.0,1,10,100.0,0.0,100.0,eg,,EMPTY_DESC=10(37%); GAPS_GT_2H=1/TOTAL=7.0h,الستات ميعرفوش يكدبوا,برنامج نور الدين والدنيا
mena-eg,CBC.sa,CBC.sa,REVIEW,84,0,38,46.0,46.0,0,38,36.8,63.2,0.0,sa,,EMPTY_DESC=38(100%); FOREIGN_FEED_ID=SA_EXPECTED=EG,Watar Hassas 2,فيلم عربي
mena-eg,CBCDrama.eg@SD,سي بي سي دراما,REVIEW,92,0,33,33.0,39.0,1,0,100.0,0.0,100.0,eg,,GAPS_GT_2H=1/TOTAL=6.0h,حواديت الشانزليزيه,بيت الرفاعي
mena-eg,Cima.eg,Cima.eg,REVIEW,92,0,23,46.0,46.0,0,23,0.0,100.0,0.0,eg,,EMPTY_DESC=23(100%),Nour El Eyoun,El Askary Shabrawy
mena-eg,Cima.eg@SD,سيما,PASS,100,1,21,42.0,42.0,0,0,100.0,0.0,100.0,eg,,,نور العيون,العسكري شبراوي
mena-eg,DMC DRAMA.eg,DMC DRAMA.eg,REVIEW,84,0,42,46.0,46.0,0,42,4.8,95.2,0.0,eg,,EMPTY_DESC=42(100%); LOW_TITLE_DIVERSITY=19%,Omar Affendi,Bein Alameen
mena-eg,DMC.eg@SD,DMC HD,PASS,100,1,31,39.5,39.5,0,0,100.0,45.2,100.0,eg,,,فيلم عربي,مصر تستطيع
mena-eg,DMCDrama.eg@SD,دي إم سي دراما,PASS,100,1,8,10.0,10.0,0,0,100.0,0.0,100.0,eg,,,ميد تيرم,كامل العدد ++
mena-eg,Egyptian TV.eg,Egyptian TV.eg,REVIEW,92,0,33,34.0,34.0,0,33,54.5,45.5,0.0,eg,,EMPTY_DESC=33(100%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,برنامج من ماسبيرو,Foq Mostawa El Shobohat
mena-eg,El.Mehwar.HD.ae,El Mehwar HD,REVIEW,84,0,44,48.5,48.5,0,44,0.0,100.0,0.0,ae,,EMPTY_DESC=44(100%); FOREIGN_FEED_ID=AE_EXPECTED=EG,Pablo,El Prince
mena-eg,ElMehwarChannel.eg@SD,المحور,REVIEW,92,0,9,12.0,12.0,0,5,100.0,0.0,100.0,eg,,EMPTY_DESC=5(56%); DUPLICATE_TIMELINE_GROUP=2,فيلم,برنامج مطبخك عندنا
mena-eg,EN:.Masrah.Masr.Channel.sa,EN: Masrah Masr Channel,REVIEW,68,0,37,48.97,49.0,0,25,0.0,100.0,100.0,sa,,EMPTY_DESC=25(68%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=3%; FOREIGN_FEED_ID=SA_EXPECTED=EG,Masrah Masr,Masrah Masr
mena-eg,ERTU1.eg@SD,قناة مصر الأولى,REVIEW,92,0,33,34.0,34.0,0,18,100.0,0.0,100.0,eg,,EMPTY_DESC=18(55%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,برنامج من ماسبيرو,فوق مستوى الشبهات
mena-eg,Extra.News.HD.ae,Extra News HD,REVIEW,76,0,65,49.0,49.0,0,65,0.0,100.0,0.0,ae,,EMPTY_DESC=65(100%); LOW_TITLE_DIVERSITY=18%; FOREIGN_FEED_ID=AE_EXPECTED=EG,News Coverage,Newsletter
mena-eg,MasperoZaman.eg@SD,ماسبيرو زمان,REVIEW,84,0,44,33.0,39.25,1,14,100.0,0.0,100.0,eg,,EMPTY_DESC=14(32%); GAPS_GT_2H=1/TOTAL=6.2h,بنات الأصول,الخاطبة
mena-eg,Mehwar.eg,Mehwar.eg,REVIEW,92,0,9,12.0,12.0,0,9,55.6,44.4,0.0,eg,,EMPTY_DESC=9(100%),فيلم,برنامج مطبخك عندنا
mena-eg,MixBelAraby.eg@SD,ميكس بالعربي,REVIEW,84,0,32,33.0,39.0,1,3,100.0,68.8,100.0,eg,,EMPTY_DESC=3(9%); GAPS_GT_2H=1/TOTAL=6.0h,Erkenci Kus,Falling Leaves S2
mena-eg,Nile Life.eg,Nile Life.eg,REVIEW,92,0,34,34.5,34.5,0,34,64.7,35.3,0.0,eg,,EMPTY_DESC=34(100%),برنامج أكلة لذيذة,Eh Alakhbar?
mena-eg,Nile.Cinema.ae,Nile Cinema,REVIEW,84,0,27,50.5,50.5,0,27,0.0,100.0,0.0,ae,,EMPTY_DESC=27(100%); FOREIGN_FEED_ID=AE_EXPECTED=EG,The Belly Dancer And The Politician,Boss Lady
mena-eg,Nile.Comedy.ae,Nile Comedy,REVIEW,76,0,57,50.0,50.0,0,57,0.0,100.0,0.0,ae,,EMPTY_DESC=57(100%); LOW_TITLE_DIVERSITY=16%; FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=2,For Security Matters,Al Tarek
mena-eg,Nile.Drama.ae,Nile Drama,REVIEW,76,0,57,50.0,50.0,0,57,0.0,100.0,0.0,ae,,EMPTY_DESC=57(100%); LOW_TITLE_DIVERSITY=16%; FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=2,For Security Matters,Al Tarek
mena-eg,Nile.Family.ae,Nile Family,REVIEW,76,0,49,49.0,49.0,0,49,0.0,100.0,0.0,ae,,EMPTY_DESC=49(100%); LOW_TITLE_DIVERSITY=14%; FOREIGN_FEED_ID=AE_EXPECTED=EG,Father Of The Bride,The Rainbow Colors
