Rotana.sa.mena|Rotana + HD.sa
Rotana.Aflam.sa.mena|Rotana Aflam +.sa
Rotana.Kids.sa.mena|Rotana Kids.sa
Rotana.M.sa.mena|Rotana M+ HD.sa
Rotana.Music.sa.mena|Rotana Music HD.sa
Rotana.RotanaCinemaEgypt.mena|روتانا سينما مصر
Rotana.RotanaCinemaKSA.mena|روتانا سينما السعودية
Rotana.RotanaClassic.mena|روتانا كلاسيك
Rotana.RotanaComedy.mena|روتانا كوميدي
Rotana.RotanaDrama.mena|روتانا دراما
Rotana.RotanaKhalijia.mena|روتانا خليجية
