DMI.Dubai.One.ae|Dubai One.sa
DMI.Dubai.Sports.2.ae|Dubai Sports 2.sa
DMI.Dubai.Sports.ae|Dubai Sports HD.sa
DMI.Dubai.Zaman.ae|Dubai Zaman.eg
DMI.Dubai.Racing.1.ae|Dubai Racing 1 HD
DMI.Dubai.Racing.2.ae|Dubai Racing 2
DMI.Dubai.TV.ae|Dubai TV HD
DMI.Noor.Dubai.TV.ae|Noor DubaiTV
DMI.Sama.Dubai.ae|Sama Dubai.sa
